"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_gene_id","hgnc_symbol","uniprotswissprot"
"3621",2.89491282083819,-5.71081173859409,22.8403986056306,5.09553993367859e-108,1.30557227664715e-107,235.602791968815,"ENSG00000234810",NA,NA
"3622",3.56344456115204,-5.7224399615689,34.7834281899709,3.97713004364273e-229,2.06995059305735e-228,513.652478529056,"ENSG00000248202",NA,NA
"3623",7.85802682235082,-5.72523929283802,64.1602131652521,0,0,1366.91435758099,"ENSG00000189057","FAM111B","Q6SJ93"
"3624",4.54555020587162,-5.72666160027395,43.2613709412477,0,0,746.080401176008,"ENSG00000234380",NA,NA
"3625",1.64117738441,-5.73123160106325,14.3105085024723,3.10753800716898e-45,5.17935298292265e-45,91.767112024916,"ENSG00000163810","TGM4","P49221"
"3626",2.72283043925974,-5.74058981907068,21.6885824069241,3.37632398958482e-98,8.08906154467169e-98,213.074872367516,"ENSG00000233611",NA,NA
"3627",4.42625490706465,-5.74155044104094,47.9180548797417,0,0,880.872247636314,"ENSG00000277851",NA,NA
"3628",2.57908156427922,-5.75120928025485,21.6598552138694,5.86742089516071e-98,1.4033331457855e-97,212.526904425584,"ENSG00000158525","CPA5","Q8WXQ8"
"3629",1.00529075302814,-5.76002509590997,7.16051157596113,9.67917273117773e-13,1.21417749784998e-12,17.804468737931,"ENSG00000278907",NA,NA
"3630",1.56832974473226,-5.7715944853747,11.6350735405166,9.50936195856294e-31,1.41509022436e-30,58.6825360107353,"ENSG00000277893","SRD5A2","P31213"
"3631",5.84268001735332,-5.77354973456511,34.4313853402219,3.83647277323854e-225,1.95011439174086e-224,504.582020320483,"ENSG00000143355","LHX9","Q9NQ69"
"3632",6.59841905908124,-5.77507937926971,61.2600297080349,0,0,1279.64499805083,"ENSG00000254919",NA,NA
"3633",2.22566587153009,-5.78585834321568,15.5013666466997,1.56701507716633e-52,2.7594993008312e-52,108.435068006898,"ENSG00000139144","PIK3C2G","O75747"
"3634",2.6127937124629,-5.78618264057051,20.424227117507,7.19905443864291e-88,1.61262265323219e-87,189.394433184007,"ENSG00000160654","CD3G","P09693"
"3635",3.48979050732961,-5.78871903226032,28.4294296272897,9.92005351422789e-161,3.48181478282506e-160,356.586595900651,"ENSG00000114487","MORC1","Q86VD1"
"3636",1.41669520561002,-5.8029623622541,7.77881537902864,9.46539081080057e-15,1.21144404292114e-14,22.3291188981424,"ENSG00000205662",NA,NA
"3637",1.32639787057874,-5.80439161732688,9.70858402706132,5.11450914261619e-22,7.04939633887297e-22,38.8243153790537,"ENSG00000279166",NA,NA
"3638",2.65619353108104,-5.80584399623361,22.7071449713433,7.29397693486162e-107,1.85346224754733e-106,232.953553547444,"ENSG00000260762",NA,NA
"3639",3.11903813414756,-5.81950618309599,28.7731102299102,3.21165630570169e-164,1.14981636373579e-163,364.585383708728,"ENSG00000228221",NA,NA
"3640",1.83132611917178,-5.82675692504053,18.1621582043612,1.24036438041714e-70,2.48453355954721e-70,149.908213052422,"ENSG00000211597","IGKJ1","A0A0A0MT89"
"3641",2.67430876797763,-5.82694475067225,22.4314937128403,1.72873697587182e-104,4.31899684540484e-104,227.506706512985,"ENSG00000241180",NA,NA
"3642",2.45289340067596,-5.83410645959344,24.0822491023359,4.97788805414981e-119,1.37141011256351e-118,260.859301043631,"ENSG00000234070",NA,NA
"3643",3.05889858155905,-5.84105169215671,23.868142761947,4.22323355220385e-117,1.14884881720918e-116,256.439352322465,"ENSG00000277559",NA,NA
"3644",1.35746482543777,-5.84726984340751,9.92213800326712,6.50031932981353e-23,9.03487112473191e-23,40.8660039978335,"ENSG00000110203","FOLR3","P41439"
"3645",4.10874200212478,-5.85009980168205,37.6097359588617,8.20867274094532e-262,5.1357246411097e-261,588.740643030883,"ENSG00000173077",NA,NA
"3646",1.39969474621247,-5.85808553977836,9.15637141922148,8.73347577858509e-20,1.17665786856145e-19,33.7552094359227,"ENSG00000124875","CXCL6","P80162"
"3647",4.21711259818617,-5.85830654803058,28.8056657814759,1.49550673098706e-164,5.36437576640082e-164,365.374055925976,"ENSG00000173157","ADAMTS20","P59510"
"3648",3.90228923997022,-5.86489521153315,36.8554784500334,5.65757405490364e-253,3.37351925860351e-252,568.432524613526,"ENSG00000226426",NA,NA
"3649",2.49129132305563,-5.87362032898793,16.7669473312463,7.73268977343451e-61,1.4463508936069e-60,127.455948479009,"ENSG00000115009","CCL20","P78556"
"3650",1.34446174870591,-5.87818151148115,10.4068849605629,5.15717383855929e-25,7.30838216477775e-25,45.6427397352917,"ENSG00000197272","IL27","Q8NEV9"
"3651",2.43112005519911,-5.8881450399377,24.819908671733,9.07866881729446e-126,2.60494524546098e-125,276.318756904424,"ENSG00000267583",NA,NA
"3652",4.01449728081618,-5.888382546978,39.1601816173149,3.19826262530143e-280,2.22728214920235e-279,631.015793309477,"ENSG00000277914",NA,NA
"3653",3.83772845257978,-5.88870987697961,29.6674391974439,2.01217961196637e-173,7.60430569642041e-173,385.733682564213,"ENSG00000234147",NA,NA
"3654",3.75485811945991,-5.88980162843195,38.7620482497146,1.82772443745389e-275,1.23813448683396e-274,620.07109549534,"ENSG00000242308",NA,NA
"3655",1.67787162955441,-5.89045754292522,13.0967496417838,2.49544680434647e-38,3.94181203978649e-38,76.0006903649511,"ENSG00000261056",NA,NA
"3656",1.97780552535318,-5.89208065004383,14.8620021620927,1.50140207317059e-48,2.5648152833581e-48,99.3532349074927,"ENSG00000163792","TCF23","Q7RTU1"
"3657",3.74054321561848,-5.91428574173234,36.5928880498049,6.46580878070473e-250,3.79184303996258e-249,561.377218640035,"ENSG00000259004",NA,NA
"3658",4.20899009660773,-5.91547782050045,39.3181472788492,4.092812357873e-282,2.87953089944165e-281,635.373516488799,"ENSG00000102962","CCL22","O00626"
"3659",1.47158413084249,-5.91747207119116,10.0088111366827,2.7808482695089e-23,3.8751086133767e-23,41.7092076202895,"ENSG00000224810",NA,NA
"3660",5.5855631463315,-5.91836797031312,43.0113845012086,0,0,738.98726251366,"ENSG00000260027","HOXB7","P09629"
"3661",4.85223924052508,-5.93111950419958,63.2147692392936,0,0,1338.15026776966,"ENSG00000254170",NA,NA
"3662",3.44790321341261,-5.93529940711408,37.5521358714704,3.90869300455982e-261,2.43514956456701e-260,587.100011384839,"ENSG00000280013",NA,NA
"3663",1.794169252509,-5.9405760370911,11.374963449101,1.74391838086048e-29,2.56885343700459e-29,55.8153158771263,"ENSG00000255399",NA,NA
"3664",1.2457957650343,-5.97326589393882,9.69952540815219,5.57705447396388e-22,7.68466545168474e-22,38.7641191792192,"ENSG00000229647",NA,NA
"3665",3.99184143729589,-5.9739789228668,44.2794698054552,0,0,775.082672254801,"ENSG00000238085",NA,NA
"3666",2.0631141206148,-6.00398982484959,14.114599725609,4.40227030538723e-44,7.28024900789021e-44,89.1408437416307,"ENSG00000064195","DLX3","O60479"
"3667",2.44316097804082,-6.01055859415926,21.0306803021888,9.18910775100104e-93,2.12397889809317e-92,200.621199059137,"ENSG00000234211",NA,NA
"3668",2.16406549817559,-6.02027475257306,15.4028444634522,6.57814151479105e-52,1.153125456323e-51,107.042927835546,"ENSG00000240535",NA,NA
"3669",3.09154856390797,-6.02538023142113,28.4435077992108,7.14632475295292e-161,2.51203871730302e-160,356.881377348072,"ENSG00000284430",NA,NA
"3670",3.24771880155298,-6.05258291813748,29.2453258960712,4.66745297653696e-169,1.72059094299831e-168,375.672753426615,"ENSG00000147570","DNAJC5B","Q9UF47"
"3671",3.54748201639544,-6.05522672191756,30.9444257585443,7.40310283671343e-187,3.0082738719548e-186,416.539308963821,"ENSG00000250237",NA,NA
"3672",1.19946674636047,-6.05957945381005,5.63903839839791,1.84016956029297e-08,2.18422899405928e-08,8.22218321925332,"ENSG00000257935",NA,NA
"3673",1.88229552680998,-6.06953834910588,14.2919290014874,4.00130514020053e-45,6.66188242109046e-45,91.5367009332741,"ENSG00000283537",NA,NA
"3674",1.09887091333038,-6.06953839361146,6.58765882341014,5.10996616908237e-11,6.27493833909139e-11,13.9712009559105,"ENSG00000274680",NA,NA
